subject,repeat,scenario,method,accuracy,macro_f1
104,2,rotation,concat_PCA,0.30510814542107684,0.20994454221229145
104,2,rotation,ALS,0.35895075931891396,0.24881932018959016
104,2,rotation,late_fusion,0.684767602393005,0.5507604602878685
104,2,axis_loss,CWR,0.577542567878509,0.45478865909753896
104,2,axis_loss,CWR_frozen,0.5803037275655776,0.4532249415602785
104,2,axis_loss,plain_GCCA,0.5089737689829729,0.3760268139843537
104,2,axis_loss,concat_PCA,0.52416014726185,0.4232920169641536
104,2,axis_loss,ALS,0.553612517257248,0.4386354975450889
104,2,axis_loss,late_fusion,0.7160607455131155,0.5843602088458283
104,2,rotation_axis_loss,CWR,0.5885872066267832,0.4708409638366966
104,2,rotation_axis_loss,CWR_frozen,0.45329038196042337,0.39426459111509266
104,2,rotation_axis_loss,plain_GCCA,0.33824206166589965,0.19976702388825737
104,2,rotation_axis_loss,concat_PCA,0.4781408191440405,0.3999675054594017
104,2,rotation_axis_loss,ALS,0.5154164749194662,0.4373601319038467
104,2,rotation_axis_loss,late_fusion,0.7128393925448688,0.579948517735088
105,0,stable,CWR,0.5664986428848391,0.5419550153636677
105,0,stable,CWR_frozen,0.5664986428848391,0.5419550153636677
105,0,stable,plain_GCCA,0.42070569988367584,0.3579793948262369
105,0,stable,concat_PCA,0.4400930593253199,0.36160187146521094
105,0,stable,ALS,0.462582396277627,0.38424937288191946
105,0,stable,late_fusion,0.6529662659945715,0.5554680547558741
105,0,rotation,CWR,0.5556417215975185,0.5489801189648366
105,0,rotation,CWR_frozen,0.4831329972857697,0.4581420909387674
105,0,rotation,plain_GCCA,0.34315626211709965,0.3074178098011398
105,0,rotation,concat_PCA,0.44901124466847614,0.37263900803395295
105,0,rotation,ALS,0.45715393563396667,0.3556173253938839
105,0,rotation,late_fusion,0.6145792943001164,0.5121363952132718
105,0,axis_loss,CWR,0.5548662272198527,0.5487420905777484
105,0,axis_loss,CWR_frozen,0.5331523846452113,0.5015513781700391
105,0,axis_loss,plain_GCCA,0.43233811554866225,0.36852841451395246
105,0,axis_loss,concat_PCA,0.4284606436603335,0.3443418245528202
105,0,axis_loss,ALS,0.4276851492826677,0.3471273631798613
105,0,axis_loss,late_fusion,0.6824350523458705,0.5983117454474592
105,0,rotation_axis_loss,CWR,0.5486622721985266,0.541215516724613
105,0,rotation_axis_loss,CWR_frozen,0.47150058162078323,0.4244097212168017
105,0,rotation_axis_loss,plain_GCCA,0.36138037999224504,0.31105791610194994
105,0,rotation_axis_loss,concat_PCA,0.43272586273749514,0.34663951774067053
105,0,rotation_axis_loss,ALS,0.4598681659557968,0.38059287086921856
105,0,rotation_axis_loss,late_fusion,0.6262117099651028,0.5317107680611954
105,1,stable,CWR,0.5680496316401706,0.540865466412107
105,1,stable,CWR_frozen,0.5680496316401706,0.540865466412107
105,1,stable,plain_GCCA,0.36487010469174097,0.29960205256165506
105,1,stable,concat_PCA,0.433113609926328,0.3546243314154336
105,1,stable,ALS,0.45133772780147347,0.37864032190190317
105,1,stable,late_fusion,0.6498642884839085,0.5505301930729624
105,1,rotation,CWR,0.5917022101589764,0.5712775368809515
105,1,rotation,CWR_frozen,0.4579294300116324,0.452703120447462
105,1,rotation,plain_GCCA,0.32880961613028303,0.3118083074422739
105,1,rotation,concat_PCA,0.4831329972857697,0.408207210444023
105,1,rotation,ALS,0.5098875533152385,0.4313810867448932
105,1,rotation,late_fusion,0.5769678169833269,0.45803421361645974
105,1,axis_loss,CWR,0.5882124854594805,0.5719699922019771
105,1,axis_loss,CWR_frozen,0.41488949205118264,0.3740654852581841
105,1,axis_loss,plain_GCCA,0.2058937572702598,0.1102548593543727
105,1,axis_loss,concat_PCA,0.439705312136487,0.3876048837783426
105,1,axis_loss,ALS,0.4447460255913145,0.385940515355615
105,1,axis_loss,late_fusion,0.6335789065529275,0.5323412368396887
105,1,rotation_axis_loss,CWR,0.5804575416828228,0.5625732670005644
105,1,rotation_axis_loss,CWR_frozen,0.3869716944552152,0.38290921994104227
105,1,rotation_axis_loss,plain_GCCA,0.31097324544397054,0.25389526529473916
105,1,rotation_axis_loss,concat_PCA,0.4598681659557968,0.3795266619704835
105,1,rotation_axis_loss,ALS,0.4831329972857697,0.4467099889858752
105,1,rotation_axis_loss,late_fusion,0.560294687863513,0.4599136643912678
105,2,stable,CWR,0.5738658394726638,0.5526406195950255
105,2,stable,CWR_frozen,0.5696006203955021,0.5413144856948593
105,2,stable,plain_GCCA,0.4618069018999612,0.4350853419490179
105,2,stable,concat_PCA,0.44125630089181855,0.349863857844066
105,2,stable,ALS,0.45754168282279956,0.3651667886327381
105,2,stable,late_fusion,0.6533540131834045,0.5554244856174212
105,2,rotation,CWR,0.5641721597518418,0.5427850381569237
105,2,rotation,CWR_frozen,0.4602559131446297,0.42667787580990785
105,2,rotation,plain_GCCA,0.4075222954633579,0.3247870042938337
105,2,rotation,concat_PCA,0.35323768902675456,0.2953634152978357
105,2,rotation,ALS,0.3784412563008918,0.3235832333987958
105,2,rotation,late_fusion,0.60566110895696,0.4999827307047569
105,2,axis_loss,CWR,0.5649476541295075,0.5509019272590776
105,2,axis_loss,CWR_frozen,0.4152772392400155,0.37764214003800417
105,2,axis_loss,plain_GCCA,0.2113222179139201,0.11994466048770987
105,2,axis_loss,concat_PCA,0.4443582784024816,0.387362565369739
105,2,axis_loss,ALS,0.4687863512989531,0.40859350715898196
105,2,axis_loss,late_fusion,0.6378441256300892,0.5377902191297653
105,2,rotation_axis_loss,CWR,0.5715393563396666,0.5515838826835459
105,2,rotation_axis_loss,CWR_frozen,0.38619620007754946,0.3752278654918418
105,2,rotation_axis_loss,plain_GCCA,0.2632803412175262,0.1759872081484192
105,2,rotation_axis_loss,concat_PCA,0.3792167506785576,0.3076060099294982
105,2,rotation_axis_loss,ALS,0.397440868553703,0.3259787117187745
